date,crop,region,pricePerKg,quantitySoldKg
2025-01-01,wheat,"Sonipat, Haryana",23.51,232
2025-01-08,wheat,"Sonipat, Haryana",22.52,490
2025-01-15,wheat,"Sonipat, Haryana",23.82,1079
2025-01-22,wheat,"Sonipat, Haryana",24.28,313
2025-01-29,wheat,"Sonipat, Haryana",22.99,238
2025-02-05,wheat,"Sonipat, Haryana",25.26,964
2025-02-12,wheat,"Sonipat, Haryana",24.68,515
2025-02-19,wheat,"Sonipat, Haryana",26.66,1021
2025-02-26,wheat,"Sonipat, Haryana",25.33,1086
2025-03-05,wheat,"Sonipat, Haryana",29.43,253
2025-03-12,wheat,"Sonipat, Haryana",29.44,1347
2025-03-19,wheat,"Sonipat, Haryana",27.88,489
2025-03-26,wheat,"Sonipat, Haryana",30.02,775
2025-04-02,wheat,"Sonipat, Haryana",27.84,407
2025-04-09,wheat,"Sonipat, Haryana",30.52,1231
2025-04-16,wheat,"Sonipat, Haryana",30.4,1435
2025-04-23,wheat,"Sonipat, Haryana",29.48,1831
2025-04-30,wheat,"Sonipat, Haryana",28.95,1147
2025-05-07,wheat,"Sonipat, Haryana",29.75,1221
2025-05-14,wheat,"Sonipat, Haryana",29.89,1156
2025-05-21,wheat,"Sonipat, Haryana",29.38,315
2025-05-28,wheat,"Sonipat, Haryana",27.76,700
2025-06-04,wheat,"Sonipat, Haryana",25.23,565
2025-06-11,wheat,"Sonipat, Haryana",25.32,631
2025-06-18,wheat,"Sonipat, Haryana",27.05,758
2025-06-25,wheat,"Sonipat, Haryana",26.23,531
2025-07-02,wheat,"Sonipat, Haryana",23.04,1417
2025-07-09,wheat,"Sonipat, Haryana",24.15,991
2025-07-16,wheat,"Sonipat, Haryana",22.81,1147
2025-07-23,wheat,"Sonipat, Haryana",22.81,693
2025-07-30,wheat,"Sonipat, Haryana",25.19,1031
2025-08-06,wheat,"Sonipat, Haryana",20.98,953
2025-08-13,wheat,"Sonipat, Haryana",21.72,1057
2025-08-20,wheat,"Sonipat, Haryana",20.2,211
2025-08-27,wheat,"Sonipat, Haryana",20.44,479
2025-09-03,wheat,"Sonipat, Haryana",18.08,1117
2025-09-10,wheat,"Sonipat, Haryana",19.6,477
2025-09-17,wheat,"Sonipat, Haryana",19.12,559
2025-09-24,wheat,"Sonipat, Haryana",19.72,624
2025-10-01,wheat,"Sonipat, Haryana",17.49,390
2025-10-08,wheat,"Sonipat, Haryana",18.15,406
2025-10-15,wheat,"Sonipat, Haryana",18.21,1025
2025-10-22,wheat,"Sonipat, Haryana",17.83,363
2025-10-29,wheat,"Sonipat, Haryana",19.14,646
2025-11-05,wheat,"Sonipat, Haryana",17.96,204
2025-11-12,wheat,"Sonipat, Haryana",18.02,795
2025-11-19,wheat,"Sonipat, Haryana",19.59,586
2025-11-26,wheat,"Sonipat, Haryana",17.95,545
2025-12-03,wheat,"Sonipat, Haryana",22.43,776
2025-12-10,wheat,"Sonipat, Haryana",22.39,1154
2025-12-17,wheat,"Sonipat, Haryana",19.97,994
2025-12-24,wheat,"Sonipat, Haryana",21.7,785
2025-12-31,wheat,"Sonipat, Haryana",20.66,904
2026-01-07,wheat,"Sonipat, Haryana",23.18,765
2026-01-14,wheat,"Sonipat, Haryana",24.2,1439
2026-01-21,wheat,"Sonipat, Haryana",25.45,542
2026-01-28,wheat,"Sonipat, Haryana",24.38,432
2026-02-04,wheat,"Sonipat, Haryana",28.81,1498
2026-02-11,wheat,"Sonipat, Haryana",26.81,1159
2026-02-18,wheat,"Sonipat, Haryana",27.86,448
2026-02-25,wheat,"Sonipat, Haryana",28.39,1013
2026-03-04,wheat,"Sonipat, Haryana",30.79,1082
2026-03-11,wheat,"Sonipat, Haryana",28.03,755
2026-03-18,wheat,"Sonipat, Haryana",28.13,1712
2026-03-25,wheat,"Sonipat, Haryana",31.23,1558
2026-04-01,wheat,"Sonipat, Haryana",30.02,344
2026-04-08,wheat,"Sonipat, Haryana",32.15,1788
2026-04-15,wheat,"Sonipat, Haryana",29.25,1039
2026-04-22,wheat,"Sonipat, Haryana",29.22,1485
2026-04-29,wheat,"Sonipat, Haryana",31.82,458
2026-05-06,wheat,"Sonipat, Haryana",29.95,1112
2026-05-13,wheat,"Sonipat, Haryana",29.22,1623
2026-05-20,wheat,"Sonipat, Haryana",29.82,578
2026-05-27,wheat,"Sonipat, Haryana",30.26,1397
2026-06-03,wheat,"Sonipat, Haryana",26.88,680
2026-06-10,wheat,"Sonipat, Haryana",29.56,1175
2026-06-17,wheat,"Sonipat, Haryana",27.72,981
2026-06-24,wheat,"Sonipat, Haryana",26.68,553
2026-07-01,wheat,"Sonipat, Haryana",24.39,964
2026-07-08,wheat,"Sonipat, Haryana",24.09,486
2026-07-15,wheat,"Sonipat, Haryana",23.63,1020
2026-07-22,wheat,"Sonipat, Haryana",24.13,1377
2026-07-29,wheat,"Sonipat, Haryana",26.04,292
2025-01-01,wheat,"Nashik, Maharashtra",23.08,1069
2025-01-08,wheat,"Nashik, Maharashtra",23.03,372
2025-01-15,wheat,"Nashik, Maharashtra",25.12,942
2025-01-22,wheat,"Nashik, Maharashtra",23.82,1220
2025-01-29,wheat,"Nashik, Maharashtra",24.8,447
2025-02-05,wheat,"Nashik, Maharashtra",25.63,855
2025-02-12,wheat,"Nashik, Maharashtra",26.71,908
2025-02-19,wheat,"Nashik, Maharashtra",27.73,1209
2025-02-26,wheat,"Nashik, Maharashtra",28.58,368
2025-03-05,wheat,"Nashik, Maharashtra",28.9,779
2025-03-12,wheat,"Nashik, Maharashtra",30.54,636
2025-03-19,wheat,"Nashik, Maharashtra",28.2,952
2025-03-26,wheat,"Nashik, Maharashtra",29.05,683
2025-04-02,wheat,"Nashik, Maharashtra",29.25,1750
2025-04-09,wheat,"Nashik, Maharashtra",29.98,1649
2025-04-16,wheat,"Nashik, Maharashtra",30.4,332
2025-04-23,wheat,"Nashik, Maharashtra",32.06,1608
2025-04-30,wheat,"Nashik, Maharashtra",31.98,1755
2025-05-07,wheat,"Nashik, Maharashtra",30.72,506
2025-05-14,wheat,"Nashik, Maharashtra",29.47,581
2025-05-21,wheat,"Nashik, Maharashtra",29.2,336
